MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
15.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.4,2022-10-19,0.3333333333333333,3.0,anthony_gill,0.10434782608695653
18.0,0.0,4.0,6.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,5.0,2.0,1.0,0.0,0.0,2.0,10.0,11.7,2022-10-30,0.7267441860465116,8.0,anthony_gill,0.27705627705627706
25.0,1.0,5.0,10.0,0.5,1.0,3.0,0.333,0.0,0.0,,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,11.0,7.4,2022-10-31,0.55,10.0,anthony_gill,0.23703703703703702
28.0,1.0,4.0,6.0,0.667,0.0,0.0,,0.0,0.0,,3.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,8.0,8.0,2022-11-04,0.6666666666666666,6.0,anthony_gill,0.138996138996139
16.0,0.0,2.0,3.0,0.667,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,6.0,4.9,2022-11-07,0.7731958762886598,5.0,anthony_gill,0.18518518518518517
15.0,1.0,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,0.7,2022-11-10,0.5,2.0,anthony_gill,0.08888888888888889
14.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,3.0,5.0,0.6,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,3.7,2022-11-27,0.5952380952380952,7.0,anthony_gill,0.2608695652173913
11.0,0.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.9,2022-11-28,0.4,5.0,anthony_gill,0.21182700794351278
11.0,0.0,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,6.0,6.7,2022-12-14,0.75,4.0,anthony_gill,0.1918081918081918
22.0,0.0,7.0,11.0,0.636,0.0,2.0,0.0,4.0,5.0,0.8,3.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,18.0,14.6,2023-01-11,0.6818181818181819,16.0,anthony_gill,0.3922369765066394
19.0,0.0,2.0,3.0,0.667,0.0,0.0,,2.0,2.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,4.0,6.0,5.4,2023-01-24,0.7731958762886598,5.0,anthony_gill,0.10704727921498661
20.0,0.0,2.0,4.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,6.0,3.9,2023-02-06,0.6147540983606558,6.0,anthony_gill,0.21818181818181817
19.0,0.0,3.0,4.0,0.75,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,7.0,7.0,2023-02-08,0.7882882882882882,5.0,anthony_gill,0.14687882496940025
12.0,0.0,2.0,3.0,0.667,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,6.0,5.8,2023-02-13,0.7731958762886598,5.0,anthony_gill,0.2
18.0,1.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,,2.0,4.0,6.0,1.0,0.0,0.0,1.0,1.0,2.0,1.5,2023-03-05,0.25,4.0,anthony_gill,0.09876543209876543
13.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,4.0,4.0,1.0,1.0,5.0,6.0,0.0,1.0,2.0,0.0,3.0,6.0,7.7,2023-03-18,0.6302521008403361,7.0,anthony_gill,0.27791563275434245
18.0,0.0,1.0,3.0,0.333,0.0,0.0,,2.0,3.0,0.667,1.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0,3.9,2023-03-24,0.4629629629629629,6.0,anthony_gill,0.1509433962264151
11.0,0.0,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,3.1,2023-03-28,0.6666666666666666,3.0,anthony_gill,0.11793611793611794
21.0,1.0,2.0,4.0,0.5,1.0,1.0,1.0,3.0,5.0,0.6,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,8.0,5.4,2023-04-04,0.6451612903225806,9.0,anthony_gill,0.1714285714285714
19.0,1.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,2.7,2023-04-05,0.4098360655737705,6.0,anthony_gill,0.13655761024182078
19.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,2.2,2023-04-07,0.4,5.0,anthony_gill,0.10439321444106132
20.0,0.0,3.0,8.0,0.375,0.0,2.0,0.0,2.0,4.0,0.5,0.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,8.0,4.6,2023-04-09,0.4098360655737705,12.0,anthony_gill,0.30967741935483867
