MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
37.0,1.0,9.0,17.0,0.529,2.0,7.0,0.286,3.0,3.0,1.0,2.0,3.0,5.0,6.0,0.0,1.0,3.0,2.0,23.0,18.1,2022-10-19,0.6277292576419213,20.0,bradley_beal,0.282021151586369
36.0,1.0,9.0,14.0,0.643,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,1.0,8.0,0.0,2.0,5.0,2.0,19.0,14.3,2022-10-21,0.6785714285714286,14.0,bradley_beal,0.26666666666666666
41.0,1.0,11.0,16.0,0.688,0.0,1.0,0.0,5.0,7.0,0.714,1.0,3.0,4.0,5.0,2.0,0.0,6.0,3.0,27.0,19.3,2022-10-23,0.7075471698113208,23.0,bradley_beal,0.3846689895470383
21.0,1.0,4.0,9.0,0.444,1.0,4.0,0.25,4.0,4.0,1.0,1.0,3.0,4.0,6.0,0.0,0.0,2.0,2.0,13.0,11.3,2022-10-25,0.604089219330855,13.0,bradley_beal,0.34957983193277314
37.0,1.0,11.0,18.0,0.611,2.0,5.0,0.4,7.0,7.0,1.0,2.0,5.0,7.0,4.0,3.0,1.0,2.0,3.0,31.0,29.0,2022-10-28,0.7352941176470589,25.0,bradley_beal,0.3211131924003211
37.0,1.0,4.0,16.0,0.25,2.0,7.0,0.286,2.0,2.0,1.0,0.0,1.0,1.0,8.0,1.0,1.0,1.0,0.0,12.0,9.0,2022-10-30,0.3554502369668246,18.0,bradley_beal,0.30326430326430326
37.0,1.0,7.0,18.0,0.389,2.0,6.0,0.333,4.0,4.0,1.0,0.0,5.0,5.0,6.0,0.0,1.0,4.0,3.0,20.0,11.4,2022-10-31,0.5060728744939271,22.0,bradley_beal,0.35235235235235235
36.0,1.0,11.0,17.0,0.647,1.0,2.0,0.5,6.0,7.0,0.857,0.0,2.0,2.0,5.0,0.0,0.0,1.0,2.0,29.0,23.4,2022-11-02,0.7221115537848606,24.0,bradley_beal,0.3764705882352941
29.0,1.0,8.0,18.0,0.444,2.0,6.0,0.333,2.0,2.0,1.0,0.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,20.0,15.9,2022-11-04,0.5296610169491526,20.0,bradley_beal,0.4473438956197577
37.0,1.0,9.0,19.0,0.474,2.0,4.0,0.5,5.0,5.0,1.0,2.0,4.0,6.0,6.0,1.0,1.0,1.0,1.0,25.0,22.4,2022-11-16,0.589622641509434,24.0,bradley_beal,0.3498329790464622
48.0,1.0,9.0,18.0,0.5,5.0,9.0,0.556,4.0,4.0,1.0,0.0,2.0,2.0,8.0,1.0,0.0,7.0,2.0,27.0,17.4,2022-11-18,0.6831983805668016,22.0,bradley_beal,0.23157894736842105
40.0,1.0,11.0,21.0,0.524,3.0,7.0,0.429,1.0,2.0,0.5,0.0,4.0,4.0,5.0,5.0,0.0,5.0,4.0,26.0,18.4,2022-11-20,0.5941499085923218,23.0,bradley_beal,0.25794392523364484
37.0,1.0,11.0,20.0,0.55,4.0,7.0,0.571,2.0,3.0,0.667,2.0,3.0,5.0,5.0,1.0,3.0,1.0,3.0,28.0,24.7,2022-11-25,0.6566604127579737,23.0,bradley_beal,0.27125307125307124
34.0,1.0,11.0,19.0,0.579,0.0,3.0,0.0,8.0,9.0,0.889,1.0,4.0,5.0,4.0,2.0,0.0,2.0,1.0,30.0,25.0,2022-11-27,0.6533101045296167,28.0,bradley_beal,0.42966751918158574
34.0,1.0,9.0,14.0,0.643,1.0,4.0,0.25,3.0,3.0,1.0,0.0,1.0,1.0,5.0,2.0,0.0,3.0,3.0,22.0,17.4,2022-11-28,0.7180156657963447,17.0,bradley_beal,0.2330097087378641
