MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
23.0,1.0,3.0,6.0,0.5,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,5.6,2022-11-06,0.4658385093167702,7.0,corey_kispert,0.22134387351778656
19.0,1.0,3.0,4.0,0.75,1.0,2.0,0.5,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,4.0,8.0,5.4,2022-11-07,0.9009009009009008,5.0,corey_kispert,0.15594541910331383
23.0,1.0,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,7.0,7.3,2022-11-10,0.7172131147540983,6.0,corey_kispert,0.17391304347826086
32.0,1.0,5.0,8.0,0.625,2.0,2.0,1.0,0.0,0.0,,0.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,12.0,10.7,2022-11-13,0.75,8.0,corey_kispert,0.13186813186813187
11.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,-0.7,2022-11-16,0.3333333333333333,3.0,corey_kispert,0.14708886618998976
38.0,0.0,6.0,9.0,0.667,5.0,8.0,0.625,0.0,0.0,,2.0,2.0,4.0,3.0,2.0,0.0,0.0,2.0,17.0,18.4,2022-11-18,0.9444444444444444,9.0,corey_kispert,0.11966759002770083
32.0,1.0,4.0,7.0,0.571,2.0,3.0,0.667,4.0,4.0,1.0,2.0,4.0,6.0,3.0,0.0,1.0,0.0,0.0,14.0,16.1,2022-11-20,0.7990867579908676,11.0,corey_kispert,0.1542056074766355
39.0,1.0,3.0,8.0,0.375,2.0,6.0,0.333,0.0,0.0,,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,8.0,4.6,2022-11-23,0.5,8.0,corey_kispert,0.1118881118881119
34.0,1.0,2.0,9.0,0.222,1.0,7.0,0.143,0.0,1.0,0.0,2.0,0.0,2.0,4.0,1.0,0.0,1.0,2.0,5.0,2.5,2022-11-25,0.2648305084745763,10.0,corey_kispert,0.12834224598930483
21.0,1.0,3.0,8.0,0.375,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,3.1,2022-11-27,0.4504504504504504,10.0,corey_kispert,0.24844720496894407
21.0,0.0,3.0,5.0,0.6,1.0,3.0,0.333,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,8.0,4.4,2022-11-30,0.6802721088435374,7.0,corey_kispert,0.13114754098360656
31.0,0.0,5.0,8.0,0.625,4.0,7.0,0.571,0.0,0.0,,1.0,4.0,5.0,1.0,1.0,1.0,0.0,4.0,14.0,13.1,2022-12-02,0.875,8.0,corey_kispert,0.11059907834101382
30.0,1.0,4.0,8.0,0.5,2.0,5.0,0.4,0.0,0.0,,1.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,10.0,7.2,2022-12-07,0.625,8.0,corey_kispert,0.1103448275862069
32.0,1.0,3.0,7.0,0.429,0.0,4.0,0.0,2.0,3.0,0.667,1.0,3.0,4.0,2.0,0.0,0.0,1.0,4.0,8.0,4.3,2022-12-09,0.4807692307692307,10.0,corey_kispert,0.15151515151515152
42.0,1.0,3.0,11.0,0.273,1.0,5.0,0.2,0.0,0.0,,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,3.5,2022-12-10,0.3181818181818182,11.0,corey_kispert,0.1282798833819242
35.0,1.0,3.0,11.0,0.273,2.0,6.0,0.333,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,9.0,4.8,2022-12-12,0.3933566433566434,12.0,corey_kispert,0.2057142857142857
34.0,1.0,6.0,10.0,0.6,4.0,6.0,0.667,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,16.0,12.6,2022-12-14,0.8,10.0,corey_kispert,0.15513897866839044
32.0,1.0,3.0,8.0,0.375,1.0,4.0,0.25,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,7.0,2.1,2022-12-17,0.4375,8.0,corey_kispert,0.15000000000000002
16.0,0.0,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,3.9,2022-12-18,0.551470588235294,6.0,corey_kispert,0.17307692307692307
18.0,0.0,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,3.5,2022-12-20,0.5102040816326531,7.0,corey_kispert,0.18122977346278316
37.0,1.0,4.0,8.0,0.5,2.0,5.0,0.4,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,12.0,10.6,2022-12-22,0.6756756756756757,10.0,corey_kispert,0.16016016016016016
25.0,0.0,4.0,7.0,0.571,1.0,4.0,0.25,0.0,0.0,,0.0,4.0,4.0,1.0,1.0,0.0,1.0,2.0,9.0,6.8,2022-12-23,0.6428571428571429,7.0,corey_kispert,0.13855670103092782
16.0,0.0,2.0,7.0,0.286,1.0,4.0,0.25,3.0,3.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,8.0,5.1,2022-12-27,0.4807692307692307,10.0,corey_kispert,0.30927835051546393
27.0,1.0,2.0,6.0,0.333,1.0,5.0,0.2,2.0,3.0,0.667,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,7.0,4.2,2022-12-28,0.4781420765027322,9.0,corey_kispert,0.19999999999999998
37.0,1.0,3.0,7.0,0.429,3.0,6.0,0.5,2.0,2.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,2.0,0.0,11.0,7.5,2022-12-30,0.6979695431472082,9.0,corey_kispert,0.14414414414414414
23.0,0.0,5.0,9.0,0.556,2.0,4.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,7.6,2023-01-03,0.6666666666666666,9.0,corey_kispert,0.17888198757763976
26.0,1.0,2.0,8.0,0.25,1.0,3.0,0.333,2.0,2.0,1.0,2.0,5.0,7.0,0.0,1.0,0.0,0.0,1.0,7.0,5.7,2023-01-06,0.3941441441441441,10.0,corey_kispert,0.16483516483516486
33.0,1.0,5.0,12.0,0.417,5.0,10.0,0.5,2.0,2.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,3.0,2.0,17.0,10.0,2023-01-09,0.6599378881987578,14.0,corey_kispert,0.20779220779220778
24.0,1.0,2.0,5.0,0.4,2.0,5.0,0.4,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,4.0,2.0,6.0,0.8,2023-01-11,0.6,5.0,corey_kispert,0.11235955056179775
36.0,1.0,4.0,6.0,0.667,2.0,4.0,0.5,3.0,3.0,1.0,0.0,5.0,5.0,2.0,1.0,1.0,0.0,3.0,13.0,13.8,2023-01-13,0.8879781420765027,9.0,corey_kispert,0.12
27.0,1.0,2.0,5.0,0.4,1.0,4.0,0.25,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,2.2,2023-01-16,0.5,5.0,corey_kispert,0.07936507936507936
14.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,2023-01-18,0.8680555555555556,4.0,corey_kispert,0.12030075187969924
33.0,1.0,4.0,10.0,0.4,2.0,6.0,0.333,4.0,4.0,1.0,1.0,6.0,7.0,1.0,1.0,0.0,2.0,1.0,14.0,10.4,2023-01-24,0.5952380952380952,14.0,corey_kispert,0.17257318952234207
20.0,1.0,2.0,8.0,0.25,1.0,6.0,0.167,2.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,7.0,6.4,2023-01-25,0.3941441441441441,10.0,corey_kispert,0.2222222222222222
27.0,1.0,5.0,11.0,0.455,4.0,7.0,0.571,0.0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,14.0,10.9,2023-01-30,0.6363636363636364,11.0,corey_kispert,0.1936193619361936
22.0,0.0,5.0,8.0,0.625,2.0,3.0,0.667,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,12.0,10.0,2023-02-03,0.75,8.0,corey_kispert,0.1818181818181818
36.0,1.0,5.0,8.0,0.625,3.0,5.0,0.6,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,15.0,11.2,2023-02-04,0.8445945945945945,10.0,corey_kispert,0.12232415902140673
19.0,0.0,1.0,5.0,0.2,1.0,5.0,0.2,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0,-0.2,2023-02-08,0.3676470588235294,6.0,corey_kispert,0.17625458996328028
29.0,1.0,5.0,9.0,0.556,3.0,7.0,0.429,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0,10.3,2023-02-11,0.7222222222222222,9.0,corey_kispert,0.16017797552836485
