MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
15.0,0.0,6.0,8.0,0.75,0.0,0.0,,0.0,0.0,,4.0,3.0,7.0,0.0,1.0,1.0,2.0,0.0,12.0,12.2,2022-10-19,0.75,8.0,daniel_gafford,0.2782608695652174
14.0,0.0,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.9,2022-10-23,0.5,2.0,daniel_gafford,0.09795918367346938
19.0,0.0,4.0,6.0,0.667,0.0,0.0,,1.0,2.0,0.5,1.0,4.0,5.0,1.0,0.0,2.0,0.0,2.0,9.0,9.2,2022-10-25,0.6540697674418605,8.0,daniel_gafford,0.23777089783281732
14.0,0.0,3.0,4.0,0.75,0.0,0.0,,4.0,5.0,0.8,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,10.0,8.2,2022-10-28,0.8064516129032258,9.0,daniel_gafford,0.30551626591230546
11.0,0.0,4.0,5.0,0.8,0.0,0.0,,2.0,5.0,0.4,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,10.0,10.7,2022-11-02,0.6944444444444444,10.0,daniel_gafford,0.5133689839572192
13.0,0.0,4.0,6.0,0.667,0.0,0.0,,1.0,1.0,1.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,3.0,9.0,8.9,2022-11-06,0.6987577639751552,7.0,daniel_gafford,0.3916083916083916
24.0,0.0,3.0,3.0,1.0,0.0,0.0,,5.0,6.0,0.833,2.0,8.0,10.0,0.0,0.0,4.0,1.0,3.0,11.0,14.1,2022-11-10,0.9751773049645388,9.0,daniel_gafford,0.25
16.0,0.0,1.0,1.0,1.0,0.0,0.0,,3.0,7.0,0.429,2.0,3.0,5.0,1.0,0.0,2.0,2.0,3.0,5.0,4.3,2022-11-13,0.6127450980392157,8.0,daniel_gafford,0.26373626373626374
16.0,0.0,2.0,3.0,0.667,0.0,0.0,,2.0,4.0,0.5,2.0,2.0,4.0,0.0,0.0,2.0,0.0,3.0,6.0,6.1,2022-11-28,0.6302521008403361,7.0,daniel_gafford,0.20388349514563106
23.0,0.0,3.0,8.0,0.375,0.0,0.0,,4.0,10.0,0.4,6.0,6.0,12.0,1.0,0.0,6.0,0.0,1.0,10.0,13.7,2022-12-02,0.4032258064516129,18.0,daniel_gafford,0.33540372670807456
20.0,0.0,9.0,10.0,0.9,0.0,0.0,,1.0,2.0,0.5,4.0,3.0,7.0,1.0,0.0,2.0,0.0,4.0,19.0,19.4,2022-12-04,0.8731617647058822,12.0,daniel_gafford,0.27428571428571424
17.0,0.0,4.0,4.0,1.0,0.0,0.0,,2.0,3.0,0.667,1.0,2.0,3.0,0.0,1.0,2.0,2.0,3.0,10.0,8.9,2022-12-07,0.9398496240601504,7.0,daniel_gafford,0.17038539553752538
18.0,0.0,3.0,4.0,0.75,0.0,0.0,,1.0,2.0,0.5,3.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,7.0,8.1,2022-12-09,0.7172131147540983,6.0,daniel_gafford,0.1616161616161616
20.0,0.0,4.0,4.0,1.0,0.0,0.0,,2.0,4.0,0.5,1.0,9.0,10.0,0.0,0.0,0.0,1.0,0.0,10.0,10.4,2022-12-12,0.8680555555555556,8.0,daniel_gafford,0.24
25.0,0.0,5.0,10.0,0.5,0.0,0.0,,1.0,1.0,1.0,0.0,7.0,7.0,3.0,1.0,2.0,1.0,2.0,11.0,10.8,2022-12-14,0.5268199233716475,11.0,daniel_gafford,0.23208791208791207
29.0,1.0,5.0,6.0,0.833,0.0,0.0,,2.0,6.0,0.333,5.0,4.0,9.0,1.0,1.0,0.0,1.0,2.0,12.0,12.8,2022-12-20,0.6944444444444444,12.0,daniel_gafford,0.19283562102443924
19.0,1.0,6.0,9.0,0.667,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,13.0,8.6,2022-12-22,0.6885593220338984,10.0,daniel_gafford,0.31189083820662766
20.0,1.0,2.0,2.0,1.0,0.0,0.0,,2.0,3.0,0.667,1.0,2.0,3.0,2.0,0.0,2.0,1.0,4.0,6.0,6.5,2022-12-23,0.9036144578313252,5.0,daniel_gafford,0.12371134020618556
24.0,1.0,6.0,7.0,0.857,0.0,0.0,,2.0,2.0,1.0,4.0,4.0,8.0,1.0,0.0,3.0,1.0,3.0,14.0,16.1,2022-12-28,0.8883248730964467,9.0,daniel_gafford,0.225
26.0,1.0,5.0,7.0,0.714,0.0,0.0,,1.0,1.0,1.0,1.0,7.0,8.0,0.0,0.0,4.0,2.0,4.0,11.0,10.1,2022-12-30,0.739247311827957,8.0,daniel_gafford,0.18233618233618235
27.0,1.0,8.0,11.0,0.727,0.0,0.0,,1.0,2.0,0.5,3.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,17.0,17.6,2023-01-01,0.7154882154882154,13.0,daniel_gafford,0.3001443001443001
29.0,1.0,4.0,7.0,0.571,0.0,0.0,,3.0,4.0,0.75,5.0,7.0,12.0,2.0,0.0,0.0,0.0,2.0,11.0,13.5,2023-01-03,0.6278538812785388,11.0,daniel_gafford,0.17339901477832512
25.0,1.0,7.0,8.0,0.875,0.0,0.0,,1.0,5.0,0.2,4.0,5.0,9.0,2.0,0.0,1.0,1.0,4.0,15.0,14.4,2023-01-06,0.7352941176470589,13.0,daniel_gafford,0.22285714285714286
23.0,1.0,5.0,6.0,0.833,0.0,0.0,,3.0,4.0,0.75,1.0,3.0,4.0,2.0,0.0,0.0,0.0,4.0,13.0,11.8,2023-01-09,0.8376288659793815,10.0,daniel_gafford,0.2129547471162378
22.0,1.0,6.0,8.0,0.75,0.0,0.0,,2.0,2.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,3.0,14.0,10.5,2023-01-16,0.7882882882882882,10.0,daniel_gafford,0.1948051948051948
17.0,1.0,3.0,4.0,0.75,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,6.0,4.3,2023-01-18,0.75,4.0,daniel_gafford,0.09907120743034056
24.0,1.0,6.0,8.0,0.75,0.0,0.0,,2.0,2.0,1.0,4.0,4.0,8.0,2.0,1.0,1.0,1.0,6.0,14.0,14.5,2023-01-21,0.7882882882882882,10.0,daniel_gafford,0.273972602739726
18.0,1.0,2.0,3.0,0.667,0.0,0.0,,5.0,8.0,0.625,1.0,6.0,7.0,3.0,0.0,1.0,1.0,6.0,9.0,8.4,2023-01-24,0.6901840490797546,11.0,daniel_gafford,0.2485875706214689
32.0,1.0,3.0,6.0,0.5,0.0,0.0,,3.0,5.0,0.6,3.0,5.0,8.0,2.0,0.0,4.0,1.0,2.0,9.0,11.2,2023-01-25,0.5487804878048781,11.0,daniel_gafford,0.15277777777777776
29.0,1.0,8.0,11.0,0.727,0.0,0.0,,5.0,8.0,0.625,5.0,7.0,12.0,2.0,1.0,5.0,2.0,2.0,21.0,24.0,2023-01-28,0.7231404958677686,19.0,daniel_gafford,0.2833178005591799
26.0,1.0,4.0,5.0,0.8,0.0,0.0,,1.0,2.0,0.5,1.0,5.0,6.0,3.0,0.0,1.0,0.0,1.0,9.0,11.3,2023-02-03,0.7653061224489796,7.0,daniel_gafford,0.13461538461538464
30.0,1.0,4.0,7.0,0.571,0.0,0.0,,2.0,3.0,0.667,2.0,8.0,10.0,0.0,1.0,1.0,1.0,2.0,10.0,10.0,2023-02-04,0.6009615384615384,10.0,daniel_gafford,0.14678899082568808
23.0,1.0,5.0,6.0,0.833,0.0,0.0,,1.0,1.0,1.0,2.0,6.0,8.0,1.0,0.0,3.0,2.0,2.0,11.0,12.0,2023-02-06,0.8540372670807453,7.0,daniel_gafford,0.22134387351778656
27.0,1.0,3.0,5.0,0.6,0.0,0.0,,7.0,8.0,0.875,2.0,3.0,5.0,1.0,1.0,3.0,1.0,1.0,13.0,15.0,2023-02-08,0.7629107981220657,13.0,daniel_gafford,0.2687338501291989
29.0,1.0,6.0,6.0,1.0,0.0,0.0,,1.0,3.0,0.333,1.0,4.0,5.0,2.0,0.0,4.0,2.0,3.0,13.0,13.3,2023-02-11,0.8879781420765027,9.0,daniel_gafford,0.16017797552836485
28.0,1.0,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,2.0,6.0,8.0,5.0,0.0,0.0,1.0,2.0,9.0,11.9,2023-02-13,0.78125,8.0,daniel_gafford,0.13714285714285715
14.0,1.0,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,2.0,-1.0,2023-02-14,0.5,2.0,daniel_gafford,0.07535321821036108
30.0,1.0,7.0,9.0,0.778,0.0,0.0,,1.0,2.0,0.5,5.0,6.0,11.0,1.0,2.0,1.0,2.0,4.0,15.0,16.2,2023-02-26,0.7591093117408906,11.0,daniel_gafford,0.20952380952380956
34.0,1.0,5.0,6.0,0.833,0.0,0.0,,3.0,4.0,0.75,4.0,8.0,12.0,2.0,1.0,3.0,2.0,2.0,13.0,17.3,2023-02-28,0.8376288659793815,10.0,daniel_gafford,0.1206636500754148
31.0,1.0,8.0,10.0,0.8,0.0,0.0,,2.0,3.0,0.667,3.0,2.0,5.0,2.0,0.0,1.0,0.0,1.0,18.0,18.2,2023-03-02,0.7950530035335689,13.0,daniel_gafford,0.18812179680434127
24.0,1.0,4.0,5.0,0.8,0.0,0.0,,1.0,2.0,0.5,1.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,9.0,8.6,2023-03-04,0.7653061224489796,7.0,daniel_gafford,0.16470588235294117
24.0,1.0,4.0,7.0,0.571,0.0,0.0,,0.0,0.0,,4.0,2.0,6.0,0.0,0.0,0.0,1.0,3.0,8.0,5.9,2023-03-05,0.5714285714285714,7.0,daniel_gafford,0.12962962962962962
