MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
26.0,0.0,3.0,7.0,0.429,1.0,3.0,0.333,1.0,2.0,0.5,1.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,8.0,6.7,2022-10-19,0.5076142131979695,9.0,delon_wright,0.18060200668896323
21.0,0.0,3.0,8.0,0.375,0.0,3.0,0.0,0.0,0.0,,2.0,1.0,3.0,4.0,3.0,1.0,2.0,1.0,6.0,7.4,2022-10-21,0.375,8.0,delon_wright,0.26122448979591834
26.0,0.0,2.0,5.0,0.4,1.0,3.0,0.333,2.0,3.0,0.667,0.0,2.0,2.0,5.0,2.0,0.0,1.0,0.0,7.0,9.0,2022-10-23,0.5537974683544303,8.0,delon_wright,0.210989010989011
16.0,0.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,,1.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,5.0,10.8,2022-10-25,0.625,4.0,delon_wright,0.1411764705882353
15.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.0,2.0,1.0,0.0,1.0,1.0,8.0,1.0,0.0,0.0,2.0,2.0,7.4,2022-12-23,0.5319148936170213,3.0,delon_wright,0.09896907216494846
17.0,0.0,2.0,5.0,0.4,1.0,3.0,0.333,2.0,3.0,0.667,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,7.0,7.2,2022-12-27,0.5537974683544303,8.0,delon_wright,0.23286840509399637
15.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,2.0,1.0,3.0,4.3,2022-12-28,0.436046511627907,4.0,delon_wright,0.16000000000000003
17.0,0.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,,1.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,3.0,5.7,2022-12-30,0.375,4.0,delon_wright,0.1394335511982571
18.0,0.0,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,7.0,7.3,2023-01-01,0.5833333333333334,6.0,delon_wright,0.20779220779220778
16.0,0.0,1.0,6.0,0.167,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,4.0,5.5,2023-01-03,0.2906976744186046,8.0,delon_wright,0.2285714285714286
19.0,0.0,3.0,5.0,0.6,0.0,2.0,0.0,3.0,3.0,1.0,0.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,9.0,10.7,2023-01-06,0.7120253164556962,8.0,delon_wright,0.18045112781954886
16.0,0.0,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,2.0,0.0,2.0,2.0,4.0,3.3,2023-01-09,0.5,4.0,delon_wright,0.12244897959183673
24.0,0.0,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,,1.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,4.0,7.0,2023-01-11,0.5,4.0,delon_wright,0.0898876404494382
24.0,0.0,2.0,7.0,0.286,1.0,4.0,0.25,1.0,1.0,1.0,2.0,6.0,8.0,1.0,0.0,0.0,1.0,3.0,6.0,3.6,2023-01-13,0.4032258064516129,8.0,delon_wright,0.16
27.0,0.0,3.0,5.0,0.6,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,7.0,2.0,0.0,1.0,2.0,9.0,12.1,2023-01-16,0.7653061224489796,7.0,delon_wright,0.1111111111111111
21.0,0.0,3.0,8.0,0.375,1.0,3.0,0.333,4.0,4.0,1.0,2.0,3.0,5.0,4.0,2.0,2.0,1.0,1.0,11.0,13.7,2023-01-18,0.5635245901639344,12.0,delon_wright,0.24060150375939848
21.0,0.0,4.0,7.0,0.571,2.0,5.0,0.4,0.0,0.0,,1.0,2.0,3.0,6.0,3.0,0.0,0.0,0.0,10.0,15.2,2023-01-24,0.7142857142857143,7.0,delon_wright,0.13559322033898305
25.0,1.0,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,,2.0,1.0,3.0,4.0,3.0,0.0,1.0,2.0,5.0,7.3,2023-01-25,0.4166666666666667,6.0,delon_wright,0.10666666666666666
24.0,0.0,3.0,7.0,0.429,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,8.0,3.9,2023-01-28,0.5076142131979695,9.0,delon_wright,0.16216216216216217
23.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,,1.0,5.0,6.0,2.0,0.0,0.0,0.0,1.0,5.0,6.2,2023-01-30,0.625,4.0,delon_wright,0.08265174343521309
27.0,0.0,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,3.0,1.0,4.0,2.0,3.0,0.0,2.0,3.0,2.0,4.6,2023-02-03,0.5,2.0,delon_wright,0.037037037037037035
27.0,0.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,,1.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,4.0,5.6,2023-02-04,0.4,5.0,delon_wright,0.08154943934760449
22.0,0.0,2.0,4.0,0.5,1.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,1.0,9.0,9.1,2023-02-11,0.78125,8.0,delon_wright,0.187683284457478
19.0,0.0,4.0,6.0,0.667,2.0,4.0,0.5,0.0,0.0,,2.0,2.0,4.0,1.0,2.0,0.0,3.0,2.0,10.0,8.3,2023-02-13,0.8333333333333334,6.0,delon_wright,0.15157894736842104
29.0,0.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,6.0,4.0,0.0,1.0,0.0,5.0,11.5,2023-02-14,0.8333333333333334,3.0,delon_wright,0.054566123531640774
29.0,0.0,5.0,9.0,0.556,0.0,1.0,0.0,0.0,0.0,,5.0,2.0,7.0,3.0,3.0,1.0,2.0,1.0,10.0,13.2,2023-02-16,0.5555555555555556,9.0,delon_wright,0.14749061113007852
20.0,0.0,5.0,8.0,0.625,5.0,7.0,0.714,0.0,0.0,,2.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,15.0,16.9,2023-02-24,0.9375,8.0,delon_wright,0.23132530120481928
30.0,1.0,3.0,4.0,0.75,0.0,0.0,,3.0,3.0,1.0,3.0,0.0,3.0,4.0,0.0,1.0,0.0,3.0,9.0,11.8,2023-02-28,0.8458646616541353,7.0,delon_wright,0.09572649572649573
33.0,1.0,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,,1.0,5.0,6.0,11.0,3.0,0.0,0.0,1.0,7.0,15.8,2023-03-02,0.5,7.0,delon_wright,0.09515717926932879
39.0,1.0,6.0,10.0,0.6,4.0,6.0,0.667,2.0,2.0,1.0,2.0,4.0,6.0,7.0,6.0,1.0,3.0,2.0,18.0,23.8,2023-03-04,0.8272058823529411,12.0,delon_wright,0.1737556561085973
29.0,1.0,4.0,8.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,3.0,5.0,2.0,0.0,1.0,1.0,10.0,11.4,2023-03-05,0.5924170616113744,9.0,delon_wright,0.13793103448275862
32.0,1.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,6.0,5.0,1.0,0.0,0.0,3.0,11.4,2023-03-07,0.3073770491803279,6.0,delon_wright,0.10714285714285714
31.0,1.0,3.0,4.0,0.75,0.0,0.0,,1.0,1.0,1.0,1.0,3.0,4.0,5.0,3.0,0.0,2.0,2.0,7.0,10.7,2023-03-08,0.7882882882882882,5.0,delon_wright,0.08324661810613944
29.0,0.0,4.0,6.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,3.0,0.0,1.0,1.0,10.0,13.5,2023-03-10,0.7267441860465116,8.0,delon_wright,0.12855708068295948
