MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
23.0,1.0,2.0,4.0,0.5,2.0,2.0,1.0,0.0,0.0,,0.0,10.0,10.0,4.0,1.0,1.0,1.0,5.0,6.0,8.5,2022-10-21,0.75,4.0,deni_avjida,0.11925465838509317
26.0,1.0,3.0,6.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,0.0,7.0,7.0,2.0,1.0,2.0,0.0,3.0,9.0,10.7,2022-10-25,0.6540697674418605,8.0,deni_avjida,0.1737556561085973
19.0,1.0,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,7.0,1.5,2022-10-28,0.5,7.0,deni_avjida,0.1750911933298593
11.0,1.0,2.0,4.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,3.8,2022-10-30,0.6147540983606558,6.0,deni_avjida,0.34002361275088544
28.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,3.0,4.0,0.75,1.0,7.0,8.0,1.0,0.0,3.0,0.0,5.0,5.0,6.5,2022-11-02,0.5252100840336135,7.0,deni_avjida,0.1411764705882353
21.0,0.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0,-0.2,2022-11-04,0.4,5.0,deni_avjida,0.15444015444015444
18.0,1.0,1.0,4.0,0.25,0.0,3.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,3.0,0.3,2022-11-07,0.3073770491803279,6.0,deni_avjida,0.19753086419753085
32.0,1.0,4.0,13.0,0.308,1.0,4.0,0.25,3.0,3.0,1.0,2.0,4.0,6.0,4.0,1.0,0.0,3.0,4.0,12.0,6.3,2022-11-10,0.4189944134078212,16.0,deni_avjida,0.3333333333333333
34.0,1.0,4.0,6.0,0.667,1.0,2.0,0.5,4.0,4.0,1.0,1.0,6.0,7.0,3.0,3.0,1.0,2.0,3.0,13.0,15.5,2022-11-12,0.8376288659793815,10.0,deni_avjida,0.18099547511312217
33.0,1.0,8.0,16.0,0.5,4.0,7.0,0.571,1.0,3.0,0.333,0.0,2.0,2.0,5.0,1.0,0.0,3.0,4.0,21.0,12.7,2022-11-13,0.6062355658198614,19.0,deni_avjida,0.30369630369630374
29.0,1.0,4.0,10.0,0.4,2.0,3.0,0.667,2.0,2.0,1.0,3.0,4.0,7.0,2.0,0.0,2.0,4.0,5.0,12.0,6.7,2022-11-16,0.551470588235294,12.0,deni_avjida,0.22316931421929484
14.0,1.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,3.0,1.8,2022-11-18,0.75,2.0,deni_avjida,0.07218045112781954
31.0,1.0,6.0,11.0,0.545,0.0,3.0,0.0,0.0,1.0,0.0,4.0,9.0,13.0,1.0,0.0,1.0,1.0,2.0,12.0,11.4,2022-11-20,0.5244755244755245,12.0,deni_avjida,0.17365088935785347
40.0,1.0,5.0,10.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,3.0,6.0,9.0,10.0,1.0,2.0,4.0,4.0,12.0,14.7,2022-11-23,0.574712643678161,11.0,deni_avjida,0.15
30.0,1.0,2.0,8.0,0.25,0.0,4.0,0.0,4.0,6.0,0.667,1.0,8.0,9.0,5.0,1.0,2.0,3.0,3.0,8.0,7.2,2022-11-25,0.3759398496240601,14.0,deni_avjida,0.20363636363636362
26.0,1.0,4.0,8.0,0.5,2.0,6.0,0.333,0.0,0.0,,0.0,1.0,1.0,3.0,1.0,0.0,0.0,3.0,10.0,8.2,2022-11-27,0.625,8.0,deni_avjida,0.1605351170568562
18.0,1.0,2.0,6.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,2.0,0.0,0.0,3.0,6.0,5.2,2022-11-28,0.436046511627907,8.0,deni_avjida,0.2071197411003236
26.0,1.0,3.0,7.0,0.429,0.0,1.0,0.0,1.0,2.0,0.5,0.0,5.0,5.0,3.0,1.0,1.0,0.0,4.0,7.0,6.6,2022-11-30,0.4441624365482233,9.0,deni_avjida,0.13619167717528374
25.0,1.0,3.0,11.0,0.273,1.0,8.0,0.125,0.0,0.0,,1.0,7.0,8.0,1.0,2.0,1.0,1.0,3.0,7.0,4.5,2022-12-04,0.3181818181818182,11.0,deni_avjida,0.20114285714285715
38.0,1.0,4.0,8.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,1.0,4.0,5.0,6.0,4.0,0.0,0.0,2.0,10.0,14.9,2022-12-07,0.5364806866952789,11.0,deni_avjida,0.11978221415607984
39.0,1.0,6.0,11.0,0.545,1.0,5.0,0.2,1.0,2.0,0.5,2.0,7.0,9.0,4.0,1.0,0.0,3.0,4.0,14.0,11.0,2022-12-09,0.5892255892255892,13.0,deni_avjida,0.16161616161616163
