MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
18.0,0.0,5.0,11.0,0.455,0.0,2.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,11.0,5.8,2023-03-14,0.4807692307692308,12.0,johnny_davis,0.41558441558441556
18.0,0.0,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,4.0,2.1,2023-03-17,0.6666666666666666,3.0,johnny_davis,0.09411764705882353
12.0,0.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.8,2023-03-18,0.3164556962025316,8.0,johnny_davis,0.34408602150537637
23.0,0.0,3.0,9.0,0.333,0.0,3.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,0.0,1.0,0.0,0.0,4.0,7.0,2.6,2023-03-22,0.3542510121457489,11.0,johnny_davis,0.2638680659670165
29.0,0.0,5.0,8.0,0.625,3.0,4.0,0.75,2.0,4.0,0.5,1.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,15.0,13.2,2023-03-26,0.7684426229508197,12.0,johnny_davis,0.1986206896551724
23.0,0.0,3.0,9.0,0.333,1.0,5.0,0.2,0.0,0.0,,2.0,6.0,8.0,1.0,0.0,0.0,0.0,2.0,7.0,5.0,2023-03-28,0.3888888888888889,9.0,johnny_davis,0.1692126909518214
28.0,0.0,4.0,15.0,0.267,2.0,10.0,0.2,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,2.0,2.0,3.0,10.0,0.9,2023-03-31,0.3333333333333333,15.0,johnny_davis,0.28257456828885397
30.0,1.0,6.0,11.0,0.545,2.0,6.0,0.333,2.0,4.0,0.5,0.0,6.0,6.0,3.0,0.0,0.0,0.0,3.0,16.0,12.6,2023-04-02,0.6269592476489029,15.0,johnny_davis,0.25806451612903225
36.0,1.0,9.0,17.0,0.529,2.0,5.0,0.4,0.0,1.0,0.0,0.0,5.0,5.0,4.0,2.0,2.0,1.0,2.0,20.0,17.2,2023-04-04,0.573394495412844,18.0,johnny_davis,0.19999999999999998
35.0,1.0,8.0,18.0,0.444,1.0,4.0,0.25,3.0,5.0,0.6,0.0,7.0,7.0,3.0,2.0,2.0,4.0,4.0,20.0,11.8,2023-04-05,0.495049504950495,23.0,johnny_davis,0.28416988416988415
37.0,1.0,7.0,20.0,0.35,2.0,8.0,0.25,0.0,0.0,,0.0,4.0,4.0,1.0,1.0,0.0,2.0,3.0,16.0,4.5,2023-04-07,0.4,20.0,johnny_davis,0.21442930533839627
39.0,1.0,4.0,20.0,0.2,3.0,15.0,0.2,2.0,4.0,0.5,3.0,5.0,8.0,8.0,2.0,0.0,2.0,4.0,13.0,7.4,2023-04-09,0.2987132352941176,24.0,johnny_davis,0.3176178660049628
