MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
18.0,0.0,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,6.7,2022-10-30,0.75,4.0,jordan_goodwin,0.13852813852813853
26.0,0.0,4.0,7.0,0.571,1.0,4.0,0.25,0.0,0.0,,4.0,4.0,8.0,5.0,2.0,1.0,0.0,3.0,9.0,14.7,2022-11-06,0.6428571428571429,7.0,jordan_goodwin,0.1958041958041958
28.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,,1.0,6.0,7.0,6.0,1.0,0.0,2.0,2.0,2.0,4.5,2022-11-10,0.25,4.0,jordan_goodwin,0.09523809523809523
20.0,0.0,3.0,8.0,0.375,3.0,3.0,1.0,0.0,0.0,,1.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0,9.0,8.2,2022-11-12,0.5625,8.0,jordan_goodwin,0.24615384615384614
26.0,0.0,3.0,7.0,0.429,3.0,4.0,0.75,1.0,2.0,0.5,1.0,7.0,8.0,4.0,1.0,1.0,0.0,2.0,10.0,12.4,2022-11-13,0.6345177664974619,9.0,jordan_goodwin,0.18258664412510567
19.0,0.0,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,1.0,3.0,2.0,4.0,2.0,2022-11-16,0.6666666666666666,3.0,jordan_goodwin,0.08515671200473092
24.0,0.0,2.0,4.0,0.5,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,5.0,4.2,2022-11-20,0.5122950819672131,6.0,jordan_goodwin,0.11214953271028037
24.0,1.0,3.0,7.0,0.429,1.0,2.0,0.5,1.0,3.0,0.333,0.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,8.0,6.1,2022-11-23,0.4807692307692307,10.0,jordan_goodwin,0.22727272727272727
25.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,1.0,5.0,6.0,2.0,2.0,0.0,2.0,3.0,7.0,7.4,2022-11-25,0.7172131147540983,6.0,jordan_goodwin,0.10472727272727272
24.0,0.0,4.0,8.0,0.5,0.0,3.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,9.0,7.8,2022-11-27,0.5067567567567567,10.0,jordan_goodwin,0.21739130434782608
22.0,0.0,5.0,6.0,0.833,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,6.0,1.0,0.0,2.0,2.0,10.0,11.1,2022-11-28,0.8333333333333334,6.0,jordan_goodwin,0.12709620476610767
19.0,0.0,1.0,5.0,0.2,0.0,1.0,0.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,0.0,0.0,1.0,1.0,5.0,4.9,2022-11-30,0.3955696202531645,8.0,jordan_goodwin,0.16566005176876616
14.0,0.0,1.0,5.0,0.2,1.0,1.0,1.0,0.0,0.0,,3.0,3.0,6.0,1.0,0.0,0.0,1.0,2.0,3.0,1.8,2022-12-02,0.3,5.0,jordan_goodwin,0.15306122448979592
25.0,0.0,3.0,9.0,0.333,1.0,2.0,0.5,1.0,1.0,1.0,2.0,5.0,7.0,3.0,2.0,1.0,1.0,3.0,8.0,8.4,2022-12-04,0.423728813559322,10.0,jordan_goodwin,0.18285714285714283
12.0,0.0,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,4.0,2.9,2022-12-07,0.3333333333333333,6.0,jordan_goodwin,0.20689655172413793
33.0,0.0,6.0,10.0,0.6,3.0,5.0,0.6,4.0,4.0,1.0,2.0,2.0,4.0,3.0,5.0,0.0,2.0,2.0,19.0,20.7,2022-12-09,0.8078231292517007,14.0,jordan_goodwin,0.2056932966023875
