MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
23.0,0.0,5.0,9.0,0.556,3.0,6.0,0.5,0.0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,3.0,2.0,13.0,8.2,2022-10-18,0.7222222222222222,9.0,kendrick_nunn,
19.0,0.0,4.0,12.0,0.333,1.0,4.0,0.25,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,3.0,1.0,9.0,0.7,2022-10-26,0.375,12.0,kendrick_nunn,
12.0,0.0,4.0,9.0,0.444,1.0,4.0,0.25,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,9.0,3.5,2022-10-28,0.4766949152542373,10.0,kendrick_nunn,0.39603960396039606
26.0,1.0,7.0,11.0,0.636,2.0,4.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,18.0,11.1,2022-11-07,0.7575757575757576,13.0,kendrick_nunn,0.2962962962962963
20.0,0.0,4.0,8.0,0.5,3.0,6.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,4.0,0.0,13.0,7.3,2022-11-20,0.7319819819819819,10.0,kendrick_nunn,0.22429906542056074
15.0,0.0,3.0,9.0,0.333,1.0,5.0,0.2,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,9.0,3.9,2022-11-25,0.4554655870445344,11.0,kendrick_nunn,0.32000000000000006
15.0,0.0,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,7.0,4.2,2022-11-26,0.5833333333333334,6.0,kendrick_nunn,
11.0,0.0,1.0,5.0,0.2,1.0,2.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,2022-11-28,0.4251700680272109,7.0,kendrick_nunn,0.2965578111209179
14.0,0.0,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,4.0,0.5,2022-11-30,0.3333333333333333,6.0,kendrick_nunn,0.1686182669789227
21.0,0.0,6.0,13.0,0.462,1.0,5.0,0.2,2.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,0.0,1.0,3.0,15.0,10.4,2022-12-07,0.5403458213256483,15.0,kendrick_nunn,0.2955665024630542
19.0,0.0,6.0,12.0,0.5,3.0,6.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,17.0,10.9,2022-12-19,0.6599378881987578,14.0,kendrick_nunn,
14.0,0.0,4.0,9.0,0.444,1.0,3.0,0.333,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,2023-01-04,0.5,9.0,kendrick_nunn,
26.0,0.0,9.0,16.0,0.563,3.0,7.0,0.429,2.0,2.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,23.0,18.3,2023-01-06,0.6812796208530806,18.0,kendrick_nunn,0.29670329670329676
13.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.3,2023-01-07,0.3333333333333333,3.0,kendrick_nunn,
23.0,0.0,6.0,15.0,0.4,2.0,7.0,0.286,1.0,2.0,0.5,1.0,0.0,1.0,1.0,3.0,0.0,2.0,3.0,15.0,7.7,2023-01-09,0.4722921914357682,17.0,kendrick_nunn,0.36202307009760426
19.0,0.0,4.0,11.0,0.364,3.0,8.0,0.375,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,6.5,2023-01-12,0.505050505050505,13.0,kendrick_nunn,
19.0,0.0,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,4.0,5.0,2023-01-15,0.6666666666666666,3.0,kendrick_nunn,
23.0,0.0,7.0,12.0,0.583,1.0,5.0,0.2,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,10.7,2023-01-16,0.625,12.0,kendrick_nunn,0.22360248447204967
16.0,0.0,5.0,8.0,0.625,4.0,6.0,0.667,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,14.0,9.8,2023-01-18,0.875,8.0,kendrick_nunn,0.21052631578947367
21.0,0.0,4.0,10.0,0.4,3.0,9.0,0.333,0.0,0.0,,0.0,5.0,5.0,0.0,0.0,1.0,1.0,4.0,11.0,5.2,2023-01-20,0.55,10.0,kendrick_nunn,
15.0,0.0,2.0,5.0,0.4,0.0,2.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,5.0,4.8,2023-01-22,0.4251700680272109,7.0,kendrick_nunn,
22.0,0.0,5.0,9.0,0.556,2.0,5.0,0.4,0.0,0.0,,2.0,2.0,4.0,4.0,2.0,0.0,0.0,1.0,12.0,14.1,2023-01-25,0.6666666666666666,9.0,kendrick_nunn,0.1818181818181818
