MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
31.0,1.0,5.0,14.0,0.357,1.0,5.0,0.2,4.0,6.0,0.667,2.0,8.0,10.0,3.0,0.0,2.0,2.0,2.0,15.0,10.9,2022-10-19,0.4507211538461538,20.0,kristaps_porzingis,0.33660589060308554
28.0,1.0,6.0,13.0,0.462,2.0,5.0,0.4,0.0,0.0,,0.0,3.0,3.0,2.0,1.0,2.0,1.0,6.0,14.0,8.6,2022-10-21,0.5384615384615384,13.0,kristaps_porzingis,0.3183673469387755
37.0,1.0,7.0,16.0,0.438,4.0,8.0,0.5,0.0,1.0,0.0,1.0,10.0,11.0,3.0,1.0,1.0,2.0,4.0,18.0,13.1,2022-10-23,0.5474452554744526,17.0,kristaps_porzingis,0.3150579150579151
25.0,1.0,8.0,13.0,0.615,2.0,4.0,0.5,2.0,2.0,1.0,4.0,3.0,7.0,2.0,0.0,0.0,3.0,5.0,20.0,14.2,2022-10-25,0.7204610951008645,15.0,kristaps_porzingis,0.3388235294117647
30.0,1.0,7.0,13.0,0.538,2.0,4.0,0.5,6.0,7.0,0.857,2.0,4.0,6.0,1.0,1.0,0.0,2.0,4.0,22.0,16.0,2022-10-28,0.6840796019900498,20.0,kristaps_porzingis,0.3168316831683169
27.0,1.0,8.0,16.0,0.5,0.0,4.0,0.0,1.0,2.0,0.5,7.0,6.0,13.0,1.0,0.0,2.0,3.0,3.0,17.0,13.2,2022-10-30,0.5035545023696683,18.0,kristaps_porzingis,0.41558441558441556
34.0,1.0,10.0,17.0,0.588,3.0,7.0,0.429,9.0,9.0,1.0,4.0,5.0,9.0,3.0,2.0,0.0,0.0,3.0,32.0,31.3,2022-10-31,0.7633587786259541,26.0,kristaps_porzingis,0.4531590413943355
34.0,1.0,9.0,13.0,0.692,1.0,4.0,0.25,11.0,11.0,1.0,0.0,9.0,9.0,3.0,1.0,3.0,1.0,1.0,30.0,31.0,2022-11-02,0.8408071748878924,24.0,kristaps_porzingis,0.3986159169550173
25.0,1.0,4.0,11.0,0.364,2.0,4.0,0.5,4.0,6.0,0.667,3.0,7.0,10.0,1.0,0.0,0.0,1.0,2.0,14.0,10.2,2022-11-04,0.5131964809384164,17.0,kristaps_porzingis,0.4410810810810811
30.0,1.0,3.0,13.0,0.231,1.0,6.0,0.167,3.0,4.0,0.75,1.0,3.0,4.0,3.0,1.0,3.0,4.0,5.0,10.0,2.5,2022-11-06,0.3387533875338753,17.0,kristaps_porzingis,0.4121212121212121
30.0,1.0,6.0,14.0,0.429,1.0,6.0,0.167,6.0,8.0,0.75,1.0,7.0,8.0,5.0,0.0,1.0,1.0,4.0,19.0,15.2,2022-11-07,0.5422374429223744,22.0,kristaps_porzingis,0.4345679012345679
32.0,1.0,12.0,20.0,0.6,4.0,8.0,0.5,3.0,5.0,0.6,1.0,9.0,10.0,2.0,1.0,2.0,1.0,0.0,31.0,27.2,2022-11-12,0.6981981981981982,25.0,kristaps_porzingis,0.48076923076923084
31.0,1.0,7.0,15.0,0.467,6.0,10.0,0.6,5.0,6.0,0.833,3.0,3.0,6.0,2.0,2.0,2.0,2.0,4.0,25.0,21.1,2022-11-13,0.7086167800453514,21.0,kristaps_porzingis,0.3573200992555831
36.0,1.0,8.0,15.0,0.533,4.0,7.0,0.571,7.0,9.0,0.778,2.0,7.0,9.0,4.0,1.0,1.0,2.0,1.0,27.0,24.5,2022-11-16,0.7120253164556962,24.0,kristaps_porzingis,0.3595505617977528
39.0,1.0,7.0,20.0,0.35,1.0,6.0,0.167,5.0,7.0,0.714,2.0,15.0,17.0,5.0,1.0,2.0,1.0,5.0,20.0,16.8,2022-11-18,0.4332755632582322,27.0,kristaps_porzingis,0.34979757085020247
34.0,1.0,4.0,19.0,0.211,2.0,8.0,0.25,2.0,2.0,1.0,4.0,4.0,8.0,2.0,1.0,5.0,4.0,5.0,12.0,4.2,2022-11-20,0.3018108651911469,21.0,kristaps_porzingis,0.27707531610775155
33.0,1.0,8.0,19.0,0.421,2.0,9.0,0.222,3.0,6.0,0.5,1.0,8.0,9.0,4.0,0.0,0.0,3.0,5.0,21.0,10.6,2022-11-23,0.4852125693160813,25.0,kristaps_porzingis,0.41322314049586784
