MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
21.0,1.0,2.0,6.0,0.333,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,6.0,6.0,2.0,0.0,1.0,1.0,7.0,11.0,2022-10-19,0.5087209302325582,8.0,monte_morris,0.19875776397515527
26.0,1.0,4.0,8.0,0.5,1.0,3.0,0.333,0.0,0.0,,0.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,9.0,10.0,2022-10-21,0.5625,8.0,monte_morris,0.210989010989011
26.0,1.0,5.0,8.0,0.625,3.0,3.0,1.0,0.0,0.0,,0.0,3.0,3.0,6.0,0.0,0.0,1.0,3.0,13.0,12.3,2022-10-23,0.8125,8.0,monte_morris,0.210989010989011
29.0,1.0,3.0,8.0,0.375,1.0,4.0,0.25,2.0,4.0,0.5,1.0,5.0,6.0,6.0,0.0,0.0,0.0,3.0,9.0,9.0,2022-10-25,0.4610655737704918,12.0,monte_morris,0.23367139959432048
31.0,1.0,2.0,8.0,0.25,0.0,3.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,12.0,0.0,1.0,1.0,1.0,5.0,8.1,2022-10-28,0.2815315315315315,10.0,monte_morris,0.15330565314595976
27.0,1.0,1.0,7.0,0.143,0.0,2.0,0.0,1.0,1.0,1.0,0.0,7.0,7.0,2.0,0.0,0.0,0.0,1.0,3.0,1.6,2022-10-30,0.2016129032258064,8.0,monte_morris,0.1847041847041847
35.0,1.0,7.0,13.0,0.538,2.0,3.0,0.667,3.0,3.0,1.0,0.0,3.0,3.0,4.0,3.0,0.0,3.0,1.0,19.0,16.0,2022-10-31,0.6634078212290503,16.0,monte_morris,0.27089947089947086
24.0,1.0,2.0,5.0,0.4,0.0,3.0,0.0,2.0,3.0,0.667,0.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,6.0,8.4,2022-11-02,0.4746835443037974,8.0,monte_morris,0.18823529411764706
22.0,1.0,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,3.0,5.0,0.0,0.0,3.0,0.0,4.0,2.0,2022-11-04,0.3333333333333333,6.0,monte_morris,0.1769041769041769
33.0,1.0,7.0,12.0,0.583,2.0,5.0,0.4,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,18.0,13.7,2022-11-06,0.6987577639751552,14.0,monte_morris,0.3085399449035813
32.0,1.0,3.0,7.0,0.429,1.0,1.0,1.0,1.0,2.0,0.5,2.0,3.0,5.0,2.0,0.0,1.0,1.0,1.0,8.0,6.9,2022-11-07,0.5076142131979695,9.0,monte_morris,0.16666666666666666
19.0,1.0,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,6.0,3.6,2022-11-10,0.5,6.0,monte_morris,0.21052631578947367
29.0,1.0,2.0,9.0,0.222,1.0,3.0,0.333,0.0,0.0,,1.0,6.0,7.0,9.0,0.0,0.0,0.0,1.0,5.0,7.9,2022-11-12,0.2777777777777778,9.0,monte_morris,0.19098143236074272
27.0,1.0,4.0,10.0,0.4,1.0,4.0,0.25,1.0,2.0,0.5,1.0,5.0,6.0,6.0,2.0,1.0,2.0,0.0,10.0,11.3,2022-11-13,0.4595588235294117,12.0,monte_morris,0.23443223443223443
27.0,1.0,4.0,7.0,0.571,3.0,5.0,0.6,0.0,0.0,,0.0,3.0,3.0,4.0,2.0,0.0,0.0,3.0,11.0,12.2,2022-11-16,0.7857142857142857,7.0,monte_morris,0.13982521847690385
26.0,1.0,3.0,8.0,0.375,0.0,5.0,0.0,0.0,0.0,,0.0,5.0,5.0,5.0,0.0,0.0,0.0,2.0,6.0,5.8,2022-11-18,0.375,8.0,monte_morris,0.15546558704453442
22.0,1.0,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,,1.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,7.0,10.2,2022-11-28,0.5833333333333334,6.0,monte_morris,0.12709620476610767
28.0,1.0,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,4.0,4.0,3.0,1.0,0.0,2.0,3.0,4.0,1.7,2022-11-30,0.3333333333333333,6.0,monte_morris,0.08430913348946135
25.0,1.0,4.0,6.0,0.667,2.0,3.0,0.667,2.0,2.0,1.0,1.0,5.0,6.0,6.0,0.0,0.0,1.0,1.0,12.0,14.4,2022-12-02,0.872093023255814,8.0,monte_morris,0.13714285714285712
30.0,1.0,6.0,14.0,0.429,2.0,6.0,0.333,0.0,0.0,,0.0,1.0,1.0,4.0,1.0,0.0,2.0,1.0,14.0,8.3,2022-12-04,0.5,14.0,monte_morris,0.21333333333333335
37.0,1.0,7.0,13.0,0.538,2.0,6.0,0.333,1.0,1.0,1.0,0.0,2.0,2.0,8.0,0.0,1.0,3.0,3.0,17.0,13.4,2022-12-07,0.6324404761904762,14.0,monte_morris,0.15657036346691522
34.0,1.0,3.0,9.0,0.333,1.0,4.0,0.25,0.0,0.0,,0.0,2.0,2.0,5.0,0.0,0.0,1.0,3.0,7.0,3.8,2022-12-09,0.3888888888888889,9.0,monte_morris,0.12834224598930483
27.0,1.0,7.0,11.0,0.636,4.0,7.0,0.571,2.0,3.0,0.667,0.0,0.0,0.0,7.0,1.0,0.0,0.0,3.0,20.0,19.4,2022-12-14,0.8116883116883117,14.0,monte_morris,0.27350427350427353
30.0,1.0,5.0,9.0,0.556,2.0,2.0,1.0,0.0,0.0,,0.0,3.0,3.0,5.0,1.0,0.0,1.0,2.0,12.0,11.3,2022-12-17,0.6666666666666666,9.0,monte_morris,0.18000000000000002
28.0,1.0,3.0,10.0,0.3,1.0,5.0,0.2,0.0,0.0,,0.0,2.0,2.0,4.0,1.0,0.0,0.0,3.0,7.0,4.4,2022-12-18,0.35,10.0,monte_morris,0.16483516483516483
36.0,1.0,4.0,10.0,0.4,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,9.0,10.0,2022-12-20,0.4310344827586207,11.0,monte_morris,0.14239482200647247
30.0,1.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,2.0,1.0,5.0,3.5,2022-12-22,0.4595588235294117,6.0,monte_morris,0.11851851851851852
32.0,1.0,4.0,7.0,0.571,2.0,5.0,0.4,6.0,6.0,1.0,0.0,2.0,2.0,5.0,3.0,0.0,0.0,1.0,16.0,19.4,2022-12-23,0.8298755186721991,13.0,monte_morris,0.20103092783505155
29.0,1.0,3.0,9.0,0.333,0.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,7.0,0.0,0.0,1.0,4.0,8.0,6.8,2022-12-27,0.4048582995951417,11.0,monte_morris,0.1876999644507643
30.0,1.0,4.0,8.0,0.5,1.0,2.0,0.5,3.0,3.0,1.0,1.0,5.0,6.0,8.0,0.0,0.0,0.0,2.0,12.0,15.0,2022-12-28,0.6437768240343348,11.0,monte_morris,0.22000000000000003
27.0,1.0,4.0,5.0,0.8,1.0,2.0,0.5,3.0,4.0,0.75,0.0,3.0,3.0,10.0,1.0,0.0,2.0,1.0,12.0,16.2,2022-12-30,0.8875739644970414,9.0,monte_morris,0.19753086419753085
25.0,1.0,3.0,7.0,0.429,1.0,5.0,0.2,0.0,0.0,,0.0,3.0,3.0,4.0,0.0,1.0,2.0,0.0,7.0,5.7,2023-01-01,0.5,7.0,monte_morris,0.17454545454545453
29.0,1.0,3.0,9.0,0.333,1.0,3.0,0.333,1.0,1.0,1.0,2.0,6.0,8.0,6.0,1.0,0.0,0.0,1.0,8.0,10.9,2023-01-03,0.423728813559322,10.0,monte_morris,0.15763546798029557
25.0,1.0,4.0,8.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,0.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,10.0,5.9,2023-01-06,0.563063063063063,10.0,monte_morris,0.17142857142857143
26.0,1.0,6.0,8.0,0.75,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,1.0,9.0,0.0,0.0,3.0,0.0,13.0,13.4,2023-01-09,0.8125,8.0,monte_morris,0.15070643642072212
28.0,1.0,7.0,13.0,0.538,1.0,3.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,17.0,12.4,2023-01-11,0.6123919308357348,15.0,monte_morris,0.2889245585874799
31.0,1.0,6.0,13.0,0.462,3.0,4.0,0.75,2.0,2.0,1.0,0.0,4.0,4.0,10.0,2.0,0.0,1.0,4.0,17.0,17.9,2023-01-16,0.6123919308357348,15.0,monte_morris,0.2073732718894009
30.0,1.0,5.0,10.0,0.5,3.0,6.0,0.5,0.0,0.0,,2.0,5.0,7.0,5.0,0.0,1.0,0.0,3.0,13.0,13.9,2023-01-18,0.65,10.0,monte_morris,0.14035087719298245
27.0,1.0,5.0,9.0,0.556,1.0,3.0,0.333,2.0,2.0,1.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,13.0,13.1,2023-01-24,0.6578947368421052,11.0,monte_morris,0.16572504708097927
27.0,1.0,2.0,7.0,0.286,0.0,3.0,0.0,6.0,6.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,10.0,7.4,2023-01-28,0.5186721991701244,13.0,monte_morris,0.20820820820820818
24.0,1.0,4.0,6.0,0.667,3.0,4.0,0.75,0.0,0.0,,1.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,11.0,10.8,2023-01-30,0.9166666666666666,6.0,monte_morris,0.1188118811881188
26.0,1.0,3.0,5.0,0.6,1.0,3.0,0.333,0.0,0.0,,0.0,1.0,1.0,6.0,0.0,0.0,3.0,0.0,7.0,6.2,2023-02-03,0.7,5.0,monte_morris,0.09615384615384616
33.0,1.0,7.0,14.0,0.5,2.0,5.0,0.4,2.0,4.0,0.5,1.0,4.0,5.0,8.0,2.0,0.0,2.0,4.0,18.0,16.1,2023-02-04,0.5710659898477157,18.0,monte_morris,0.2402001668056714
22.0,1.0,4.0,8.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.0,3.0,3.0,7.0,1.0,0.0,2.0,0.0,10.0,10.8,2023-02-06,0.625,8.0,monte_morris,0.2644628099173554
27.0,1.0,7.0,10.0,0.7,0.0,2.0,0.0,3.0,3.0,1.0,1.0,5.0,6.0,4.0,1.0,0.0,1.0,0.0,17.0,17.8,2023-02-11,0.7508833922261484,13.0,monte_morris,0.24850657108721622
28.0,1.0,3.0,6.0,0.5,2.0,3.0,0.667,0.0,0.0,,0.0,2.0,2.0,5.0,1.0,0.0,1.0,1.0,8.0,8.7,2023-02-13,0.6666666666666666,6.0,monte_morris,0.10285714285714284
27.0,1.0,2.0,5.0,0.4,2.0,3.0,0.667,0.0,0.0,,1.0,6.0,7.0,4.0,0.0,0.0,1.0,0.0,6.0,7.6,2023-02-14,0.6,5.0,monte_morris,0.09768009768009767
21.0,1.0,2.0,5.0,0.4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,6.0,0.0,0.0,1.0,1.0,5.0,6.3,2023-02-16,0.4595588235294117,6.0,monte_morris,0.13578500707213578
27.0,1.0,5.0,8.0,0.625,2.0,3.0,0.667,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,1.0,4.0,12.0,8.8,2023-02-24,0.75,8.0,monte_morris,0.1713520749665328
16.0,0.0,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,6.0,2023-03-08,0.3571428571428571,7.0,monte_morris,0.22580645161290325
26.0,1.0,2.0,6.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,8.0,2.0,1.0,3.0,3.0,6.0,8.6,2023-03-10,0.436046511627907,8.0,monte_morris,0.14339058999253174
25.0,1.0,5.0,8.0,0.625,1.0,2.0,0.5,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,1.0,2.0,1.0,11.0,7.6,2023-03-12,0.6875,8.0,monte_morris,0.16695652173913042
27.0,1.0,6.0,10.0,0.6,0.0,3.0,0.0,1.0,1.0,1.0,1.0,7.0,8.0,4.0,0.0,0.0,2.0,0.0,13.0,12.0,2023-03-14,0.6226053639846744,11.0,monte_morris,0.25396825396825395
28.0,1.0,3.0,10.0,0.3,2.0,4.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,0.0,10.0,7.3,2023-03-17,0.4595588235294117,12.0,monte_morris,0.24201680672268905
20.0,1.0,2.0,6.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,6.3,2023-03-18,0.5087209302325582,8.0,monte_morris,0.2064516129032258
31.0,1.0,5.0,10.0,0.5,2.0,5.0,0.4,2.0,2.0,1.0,0.0,2.0,2.0,8.0,0.0,0.0,1.0,0.0,14.0,14.2,2023-03-21,0.6433823529411764,12.0,monte_morris,0.2064516129032258
23.0,1.0,4.0,10.0,0.4,0.0,3.0,0.0,0.0,0.0,,1.0,1.0,2.0,5.0,2.0,0.0,1.0,0.0,8.0,8.1,2023-03-22,0.4,10.0,monte_morris,0.239880059970015
19.0,1.0,5.0,8.0,0.625,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,10.0,10.9,2023-03-24,0.625,8.0,monte_morris,0.19066534260178747
