MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
12.0,0.0,4.0,6.0,0.667,0.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,12.0,9.6,2022-11-27,0.7731958762886598,10.0,taj_gibson,0.43478260869565216
17.0,1.0,2.0,5.0,0.4,1.0,3.0,0.333,3.0,4.0,0.75,1.0,1.0,2.0,2.0,2.0,1.0,0.0,6.0,8.0,7.6,2022-12-14,0.591715976331361,9.0,taj_gibson,0.2792501616031028
13.0,0.0,4.0,6.0,0.667,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,6.0,8.0,1.2,2022-12-23,0.5813953488372093,8.0,taj_gibson,0.30452022204599527
14.0,0.0,3.0,4.0,0.75,0.0,0.0,,1.0,1.0,1.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,4.0,7.0,6.6,2022-12-27,0.7882882882882882,5.0,taj_gibson,0.1767304860088365
24.0,1.0,3.0,7.0,0.429,0.0,1.0,0.0,3.0,5.0,0.6,3.0,5.0,8.0,3.0,1.0,1.0,0.0,2.0,9.0,11.1,2023-01-11,0.4891304347826087,12.0,taj_gibson,0.2696629213483146
11.0,0.0,2.0,2.0,1.0,0.0,0.0,,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,5.0,3.9,2023-01-13,0.8680555555555556,4.0,taj_gibson,0.17454545454545453
12.0,0.0,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,2.0,-0.1,2023-01-21,0.5,2.0,taj_gibson,0.1095890410958904
17.0,0.0,4.0,6.0,0.667,0.0,1.0,0.0,1.0,2.0,0.5,5.0,5.0,10.0,3.0,0.0,1.0,2.0,4.0,9.0,10.2,2023-01-28,0.6540697674418605,8.0,taj_gibson,0.20349761526232116
17.0,0.0,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,4.0,3.9,2023-01-30,0.5,4.0,taj_gibson,0.11182294700058241
12.0,0.0,3.0,6.0,0.5,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,0.0,1.0,1.0,0.0,2.0,6.0,5.2,2023-02-06,0.5,6.0,taj_gibson,0.36363636363636365
11.0,0.0,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.6,2023-02-14,0.7731958762886598,5.0,taj_gibson,0.23976023976023975
12.0,0.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,1.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,3.0,2.5,2023-02-26,0.5208333333333334,4.0,taj_gibson,0.19047619047619047
13.0,0.0,2.0,4.0,0.5,0.0,2.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,3.5,2023-02-28,0.5122950819672131,6.0,taj_gibson,0.1893491124260355
11.0,0.0,1.0,2.0,0.5,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,4.0,1.8,2023-03-28,0.6944444444444444,4.0,taj_gibson,0.15724815724815724
16.0,0.0,4.0,8.0,0.5,4.0,5.0,0.8,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,14.0,8.5,2023-04-02,0.7882882882882882,10.0,taj_gibson,0.3225806451612903
