Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,30-002,WAS,@,IND,W (+7),0,15:26,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,1,0,3,2,0.4,0
2,2,2022-10-21,30-004,WAS,,CHI,W (+2),0,10:37,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,2,2,1.9,+2
3,3,2022-10-23,30-006,WAS,@,CLE,L (-10),0,10:03,1,3,.333,0,2,.000,0,0,,0,2,2,0,0,0,0,1,2,0.5,-9
4,4,2022-10-25,30-008,WAS,,DET,W (+21),0,6:31,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,1.3,+7
5,5,2022-10-28,30-011,WAS,,IND,L (-10),0,4:07,1,1,1.000,1,1,1.000,0,0,,1,0,1,1,0,0,0,1,3,3.7,+3
6,6,2022-10-30,30-013,WAS,@,BOS,L (-18),0,18:41,4,6,.667,0,1,.000,2,2,1.000,3,2,5,2,1,0,0,2,10,11.7,+8
7,7,2022-10-31,30-014,WAS,,PHI,L (-7),1,25:59,5,10,.500,1,3,.333,0,0,,2,2,4,2,0,0,2,0,11,7.4,+7
8,8,2022-11-02,30-016,WAS,@,PHI,W (+10),1,16:43,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,2,2,1.5,+2
9,9,2022-11-04,30-018,WAS,,BRK,L (-42),1,28:25,4,6,.667,0,0,,0,0,,3,1,4,0,1,0,0,2,8,8.0,-16
10,10,2022-11-06,30-020,WAS,@,MEM,L (-6),0,2:36,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,1,0,1.3,+6
11,11,2022-11-07,30-021,WAS,@,CHO,W (+8),0,16:59,2,3,.667,0,0,,2,2,1.000,1,0,1,1,0,0,0,3,6,4.9,-10
12,12,2022-11-10,30-024,WAS,,DAL,W (+8),1,15:23,1,2,.500,0,0,,0,0,,0,2,2,1,0,0,0,4,2,0.7,-7
