Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,29-113,WAS,@,IND,W (+7),1,37:31,9,17,.529,2,7,.286,3,3,1.000,2,3,5,6,0,1,3,2,23,18.1,+8
2,2,2022-10-21,29-115,WAS,,CHI,W (+2),1,36:39,9,14,.643,1,2,.500,0,0,,0,1,1,8,0,2,5,2,19,14.3,+4
3,3,2022-10-23,29-117,WAS,@,CLE,L (-10),1,41:35,11,16,.688,0,1,.000,5,7,.714,1,3,4,5,2,0,6,3,27,19.3,-5
4,4,2022-10-25,29-119,WAS,,DET,W (+21),1,21:49,4,9,.444,1,4,.250,4,4,1.000,1,3,4,6,0,0,2,2,13,11.3,+5
5,5,2022-10-28,29-122,WAS,,IND,L (-10),1,37:13,11,18,.611,2,5,.400,7,7,1.000,2,5,7,4,3,1,2,3,31,29.0,-10
6,6,2022-10-30,29-124,WAS,@,BOS,L (-18),1,37:22,4,16,.250,2,7,.286,2,2,1.000,0,1,1,8,1,1,1,0,12,9.0,-13
7,7,2022-10-31,29-125,WAS,,PHI,L (-7),1,37:51,7,18,.389,2,6,.333,4,4,1.000,0,5,5,6,0,1,4,3,20,11.4,0
8,8,2022-11-02,29-127,WAS,@,PHI,W (+10),1,36:30,11,17,.647,1,2,.500,6,7,.857,0,2,2,5,0,0,1,2,29,23.4,+6
9,9,2022-11-04,29-129,WAS,,BRK,L (-42),1,29:36,8,18,.444,2,6,.333,2,2,1.000,0,3,3,3,2,1,0,1,20,15.9,-19
10,,2022-11-06,29-131,WAS,@,MEM,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2022-11-07,29-132,WAS,@,CHO,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,2022-11-10,29-135,WAS,,DAL,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,2022-11-12,29-137,WAS,,UTA,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,2022-11-13,29-138,WAS,,MEM,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,10,2022-11-16,29-141,WAS,,OKC,L (-1),1,37:01,9,19,.474,2,4,.500,5,5,1.000,2,4,6,6,1,1,1,1,25,22.4,+10
16,11,2022-11-18,29-143,WAS,,MIA,W (+1),1,48:30,9,18,.500,5,9,.556,4,4,1.000,0,2,2,8,1,0,7,2,27,17.4,+10
17,12,2022-11-20,29-145,WAS,,CHO,W (+4),1,40:33,11,21,.524,3,7,.429,1,2,.500,0,4,4,5,5,0,5,4,26,18.4,+4
18,,2022-11-23,29-148,WAS,@,MIA,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,13,2022-11-25,29-150,WAS,@,MIA,L (-3),1,37:48,11,20,.550,4,7,.571,2,3,.667,2,3,5,5,1,3,1,3,28,24.7,-4
20,14,2022-11-27,29-152,WAS,@,BOS,L (-9),1,34:47,11,19,.579,0,3,.000,8,9,.889,1,4,5,4,2,0,2,1,30,25.0,-28
21,15,2022-11-28,29-153,WAS,,MIN,W (+15),1,34:08,9,14,.643,1,4,.250,3,3,1.000,0,1,1,5,2,0,3,3,22,17.4,+20
22,16,2022-11-30,29-155,WAS,@,BRK,L (-6),1,38:41,9,20,.450,1,6,.167,6,9,.667,3,2,5,6,0,0,5,0,25,15.3,-2
23,17,2022-12-02,29-157,WAS,@,CHO,L (-1),1,39:46,12,24,.500,2,8,.250,7,8,.875,1,5,6,7,1,0,3,2,33,24.9,-10
24,18,2022-12-04,29-159,WAS,,LAL,L (-11),1,3:29,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-1
25,,2022-12-07,29-162,WAS,@,CHI,L (-4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
26,,2022-12-09,29-164,WAS,@,IND,L (-10),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
27,,2022-12-10,29-165,WAS,,LAC,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,2022-12-12,29-167,WAS,,BRK,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,2022-12-14,29-169,WAS,@,DEN,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2022-12-17,29-172,WAS,@,LAC,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,19,2022-12-18,29-173,WAS,@,LAL,L (-2),1,31:39,9,17,.529,0,3,.000,11,13,.846,1,1,2,3,0,0,3,3,29,18.8,+1
32,20,2022-12-20,29-175,WAS,@,PHO,W (+3),1,35:17,8,20,.400,0,2,.000,11,14,.786,2,4,6,6,1,1,2,1,27,21.1,+25
33,21,2022-12-22,29-177,WAS,@,UTA,L (-8),1,31:05,13,20,.650,0,3,.000,4,4,1.000,1,4,5,5,0,0,2,2,30,23.8,+4
34,22,2022-12-23,29-178,WAS,@,SAC,W (+14),1,34:13,10,16,.625,2,4,.500,2,3,.667,0,1,1,4,1,0,3,2,24,16.7,+5
35,23,2022-12-27,29-182,WAS,,PHI,W (+5),1,29:52,8,15,.533,3,5,.600,0,0,,1,0,1,5,0,2,3,1,19,13.9,+1
