Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2022-10-19,23-230,WAS,@,IND,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2022-10-21,23-232,WAS,,CHI,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2022-10-23,23-234,WAS,@,CLE,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,2022-10-25,23-236,WAS,,DET,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2022-10-28,23-239,WAS,,IND,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,2022-10-30,23-241,WAS,@,BOS,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,2022-10-31,23-242,WAS,,PHI,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,2022-11-02,23-244,WAS,@,PHI,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,1,2022-11-04,23-246,WAS,,BRK,L (-42),0,18:07,0,6,.000,0,5,.000,2,2,1.000,0,1,1,2,0,0,2,0,2,-2.5,-9
10,2,2022-11-06,23-248,WAS,@,MEM,L (-6),1,23:47,3,6,.500,0,3,.000,0,1,.000,0,3,3,3,0,0,0,0,6,5.6,-15
11,3,2022-11-07,23-249,WAS,@,CHO,W (+8),1,19:15,3,4,.750,1,2,.500,1,1,1.000,0,3,3,1,0,0,1,4,8,5.4,-7
12,4,2022-11-10,23-252,WAS,,DAL,W (+8),1,23:26,2,4,.500,1,2,.500,2,2,1.000,0,0,0,1,2,0,0,1,7,7.3,+5
13,5,2022-11-12,23-254,WAS,,UTA,W (+9),1,28:45,6,6,1.000,4,4,1.000,2,2,1.000,0,4,4,2,1,0,0,2,18,19.0,+14
14,6,2022-11-13,23-255,WAS,,MEM,W (+10),1,32:03,5,8,.625,2,2,1.000,0,0,,0,2,2,1,2,0,1,0,12,10.7,+13
15,7,2022-11-16,23-258,WAS,,OKC,L (-1),0,11:10,1,3,.333,0,2,.000,0,0,,0,0,0,2,0,0,2,1,2,-0.7,-20
16,8,2022-11-18,23-260,WAS,,MIA,W (+1),0,38:29,6,9,.667,5,8,.625,0,0,,2,2,4,3,2,0,0,2,17,18.4,+8
17,9,2022-11-20,23-262,WAS,,CHO,W (+4),1,32:20,4,7,.571,2,3,.667,4,4,1.000,2,4,6,3,0,1,0,0,14,16.1,+19
18,10,2022-11-23,23-265,WAS,@,MIA,L (-8),1,39:22,3,8,.375,2,6,.333,0,0,,1,1,2,2,1,0,2,1,8,4.6,-5
19,11,2022-11-25,23-267,WAS,@,MIA,L (-3),1,34:32,2,9,.222,1,7,.143,0,1,.000,2,0,2,4,1,0,1,2,5,2.5,-9
20,12,2022-11-27,23-269,WAS,@,BOS,L (-9),1,21:52,3,8,.375,1,3,.333,1,2,.500,0,1,1,0,0,0,0,1,8,3.1,-18
21,13,2022-11-28,23-270,WAS,,MIN,W (+15),0,19:39,4,4,1.000,2,2,1.000,1,2,.500,0,1,1,1,0,0,0,1,11,10.0,+19
22,14,2022-11-30,23-272,WAS,@,BRK,L (-6),0,21:56,3,5,.600,1,3,.333,1,2,.500,0,2,2,0,0,1,1,3,8,4.4,-4
23,15,2022-12-02,23-274,WAS,@,CHO,L (-1),0,31:21,5,8,.625,4,7,.571,0,0,,1,4,5,1,1,1,0,4,14,13.1,+17
24,16,2022-12-04,23-276,WAS,,LAL,L (-11),0,29:35,6,8,.750,4,6,.667,0,0,,0,1,1,2,0,0,0,2,16,13.7,-11
25,17,2022-12-07,23-279,WAS,@,CHI,L (-4),1,30:04,4,8,.500,2,5,.400,0,0,,1,2,3,1,2,0,2,2,10,7.2,-13
26,18,2022-12-09,23-281,WAS,@,IND,L (-10),1,32:01,3,7,.429,0,4,.000,2,3,.667,1,3,4,2,0,0,1,4,8,4.3,+1
27,19,2022-12-10,23-282,WAS,,LAC,L (-7),1,42:51,3,11,.273,1,5,.200,0,0,,2,3,5,1,0,0,0,0,7,3.5,-9
28,20,2022-12-12,23-284,WAS,,BRK,L (-12),1,35:34,3,11,.273,2,6,.333,1,1,1.000,2,2,4,1,1,0,1,1,9,4.8,-26
29,21,2022-12-14,23-286,WAS,@,DEN,L (-13),1,34:38,6,10,.600,4,6,.667,0,0,,0,1,1,2,0,1,0,3,16,12.6,-1
30,22,2022-12-17,23-289,WAS,@,LAC,L (-9),1,32:52,3,8,.375,1,4,.250,0,0,,1,1,2,1,0,0,1,3,7,2.1,-9
31,23,2022-12-18,23-290,WAS,@,LAL,L (-2),0,16:41,2,5,.400,1,4,.250,1,1,1.000,0,1,1,1,0,0,0,1,6,3.9,-14
32,24,2022-12-20,23-292,WAS,@,PHO,W (+3),0,18:16,2,5,.400,1,3,.333,1,2,.500,0,2,2,0,0,0,0,0,6,3.5,-12
33,25,2022-12-22,23-294,WAS,@,UTA,L (-8),1,37:20,4,8,.500,2,5,.400,2,2,1.000,0,2,2,2,1,0,0,1,12,10.6,-3
