Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2022-10-19,23-361,WAS,@,IND,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,2022-10-21,23-363,WAS,,CHI,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,,2022-10-23,24-000,WAS,@,CLE,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,1,2022-10-25,24-002,WAS,,DET,W (+21),0,2:18,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,1,0,2,2.0,0
5,,2022-10-28,24-005,WAS,,IND,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,2,2022-10-30,24-007,WAS,@,BOS,L (-18),0,18:20,3,4,.750,0,1,.000,0,0,,0,2,2,2,1,1,1,1,6,6.7,+8
7,,2022-10-31,24-008,WAS,,PHI,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,,2022-11-02,24-010,WAS,@,PHI,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,3,2022-11-04,24-012,WAS,,BRK,L (-42),0,7:43,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-1.1,-5
10,4,2022-11-06,24-014,WAS,@,MEM,L (-6),0,26:02,4,7,.571,1,4,.250,0,0,,4,4,8,5,2,1,0,3,9,14.7,+12
11,5,2022-11-07,24-015,WAS,@,CHO,W (+8),0,21:23,7,7,1.000,1,1,1.000,2,2,1.000,2,2,4,5,0,2,1,1,17,20.4,+10
12,6,2022-11-10,24-018,WAS,,DAL,W (+8),0,28:44,1,4,.250,0,1,.000,0,0,,1,6,7,6,1,0,2,2,2,4.5,+12
13,7,2022-11-12,24-020,WAS,,UTA,W (+9),0,20:32,3,8,.375,3,3,1.000,0,0,,1,1,2,2,1,2,0,3,9,8.2,-8
14,8,2022-11-13,24-021,WAS,,MEM,W (+10),0,26:08,3,7,.429,3,4,.750,1,2,.500,1,7,8,4,1,1,0,2,10,12.4,+3
15,9,2022-11-16,24-024,WAS,,OKC,L (-1),0,19:43,2,3,.667,0,0,,0,0,,2,1,3,1,0,1,3,2,4,2.0,-15
