Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-18,27-076,LAL,@,GSW,L (-14),0,23:03,5,9,.556,3,6,.500,0,0,,0,3,3,2,1,0,3,2,13,8.2,-19
2,2,2022-10-20,27-078,LAL,,LAC,L (-6),0,11:01,0,7,.000,0,4,.000,0,0,,0,2,2,2,0,1,1,1,0,-3.6,-18
3,3,2022-10-23,27-081,LAL,,POR,L (-2),0,9:42,0,3,.000,0,3,.000,0,0,,0,0,0,1,0,0,2,3,0,-4.6,-7
4,4,2022-10-26,27-084,LAL,@,DEN,L (-11),0,19:05,4,12,.333,1,4,.250,0,0,,0,4,4,1,0,0,3,1,9,0.7,+9
5,5,2022-10-28,27-086,LAL,@,MIN,L (-9),0,12:26,4,9,.444,1,4,.250,0,1,.000,0,2,2,0,0,0,1,0,9,3.5,+4
6,6,2022-10-30,27-088,LAL,,DEN,W (+11),0,3:23,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.0,+4
7,,2022-11-02,27-091,LAL,,NOP,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,7,2022-11-04,27-093,LAL,,UTA,L (-14),0,1:17,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-2
9,8,2022-11-06,27-095,LAL,,CLE,L (-14),1,18:22,0,5,.000,0,4,.000,0,0,,1,2,3,2,1,0,1,0,0,-0.8,-3
10,9,2022-11-07,27-096,LAL,@,UTA,L (-23),1,26:47,7,11,.636,2,4,.500,2,2,1.000,0,1,1,1,0,0,3,0,18,11.1,-11
11,10,2022-11-09,27-098,LAL,@,LAC,L (-13),0,12:32,0,4,.000,0,2,.000,0,0,,0,0,0,3,0,0,1,1,0,-2.1,-16
12,,2022-11-11,27-100,LAL,,SAC,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,11,2022-11-13,27-102,LAL,,BRK,W (+13),0,10:36,0,4,.000,0,3,.000,0,0,,0,1,1,2,0,0,0,2,0,-1.9,-12
14,12,2022-11-18,27-107,LAL,,DET,W (+7),0,16:41,4,4,1.000,2,2,1.000,0,0,,0,1,1,1,0,0,1,1,10,8.4,+5
15,13,2022-11-20,27-109,LAL,,SAS,W (+31),0,20:43,4,8,.500,3,6,.500,2,2,1.000,0,3,3,2,0,0,4,0,13,7.3,+12
16,14,2022-11-22,27-111,LAL,@,PHO,L (-10),0,8:42,2,4,.500,0,1,.000,0,0,,0,0,0,2,0,0,2,0,4,1.4,-2
17,15,2022-11-25,27-114,LAL,@,SAS,W (+11),0,15:30,3,9,.333,1,5,.200,2,2,1.000,0,1,1,1,0,0,1,0,9,3.9,-6
18,16,2022-11-26,27-115,LAL,@,SAS,W (+5),0,15:02,3,6,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,2,7,4.2,+6
19,17,2022-11-28,27-117,LAL,,IND,L (-1),0,11:24,1,5,.200,1,2,.500,2,2,1.000,0,2,2,0,0,0,0,0,5,2.5,+11
20,18,2022-11-30,27-119,LAL,,POR,W (+19),0,14:12,2,6,.333,0,2,.000,0,0,,0,1,1,2,0,0,1,2,4,0.5,+14
21,19,2022-12-02,27-121,LAL,@,MIL,W (+4),0,2:24,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,1,0,-0.8,-1
22,,2022-12-04,27-123,LAL,@,WAS,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,20,2022-12-06,27-125,LAL,@,CLE,L (-14),0,6:41,0,4,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-3.2,+1
24,21,2022-12-07,27-126,LAL,@,TOR,L (-13),0,21:00,6,13,.462,1,5,.200,2,2,1.000,0,2,2,1,3,0,1,3,15,10.4,-1
25,,2022-12-09,27-128,LAL,@,PHI,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
26,22,2022-12-11,27-130,LAL,@,DET,W (+7),0,3:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
27,23,2022-12-13,27-132,LAL,,BOS,L (-4),0,6:25,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.0,-2
28,24,2022-12-16,27-135,LAL,,DEN,W (+18),0,1:13,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4
29,,2022-12-18,27-137,LAL,,WAS,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
30,25,2022-12-19,27-138,LAL,@,PHO,L (-26),0,19:56,6,12,.500,3,6,.500,2,2,1.000,0,1,1,0,1,0,1,1,17,10.9,-7
31,26,2022-12-21,27-140,LAL,@,SAC,L (-14),0,11:01,0,6,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-5.2,+6
