Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,27-114,WAS,@,IND,W (+7),1,21:22,2,6,.333,1,1,1.000,2,2,1.000,2,4,6,6,2,0,1,1,7,11.0,+17
2,2,2022-10-21,27-116,WAS,,CHI,W (+2),1,26:27,4,8,.500,1,3,.333,0,0,,0,4,4,3,1,1,0,0,9,10.0,+5
3,3,2022-10-23,27-118,WAS,@,CLE,L (-10),1,26:30,5,8,.625,3,3,1.000,0,0,,0,3,3,6,0,0,1,3,13,12.3,+6
4,4,2022-10-25,27-120,WAS,,DET,W (+21),1,29:38,3,8,.375,1,4,.250,2,4,.500,1,5,6,6,0,0,0,3,9,9.0,+19
5,5,2022-10-28,27-123,WAS,,IND,L (-10),1,31:09,2,8,.250,0,3,.000,1,2,.500,0,2,2,12,0,1,1,1,5,8.1,+6
6,6,2022-10-30,27-125,WAS,@,BOS,L (-18),1,27:18,1,7,.143,0,2,.000,1,1,1.000,0,7,7,2,0,0,0,1,3,1.6,-26
7,7,2022-10-31,27-126,WAS,,PHI,L (-7),1,35:08,7,13,.538,2,3,.667,3,3,1.000,0,3,3,4,3,0,3,1,19,16.0,+6
8,8,2022-11-02,27-128,WAS,@,PHI,W (+10),1,24:00,2,5,.400,0,3,.000,2,3,.667,0,1,1,6,1,0,0,0,6,8.4,-3
9,9,2022-11-04,27-130,WAS,,BRK,L (-42),1,22:43,2,6,.333,0,3,.000,0,0,,0,3,3,5,0,0,3,0,4,2.0,-23
10,10,2022-11-06,27-132,WAS,@,MEM,L (-6),1,33:09,7,12,.583,2,5,.400,2,2,1.000,0,0,0,1,1,0,0,1,18,13.7,-9
11,11,2022-11-07,27-133,WAS,@,CHO,W (+8),1,32:27,3,7,.429,1,1,1.000,1,2,.500,2,3,5,2,0,1,1,1,8,6.9,+4
12,12,2022-11-10,27-136,WAS,,DAL,W (+8),1,19:22,3,6,.500,0,1,.000,0,0,,0,1,1,3,0,0,1,2,6,3.6,-4
13,13,2022-11-12,27-138,WAS,,UTA,W (+9),1,29:11,2,9,.222,1,3,.333,0,0,,1,6,7,9,0,0,0,1,5,7.9,+15
14,14,2022-11-13,27-139,WAS,,MEM,W (+10),1,27:22,4,10,.400,1,4,.250,1,2,.500,1,5,6,6,2,1,2,0,10,11.3,+3
15,15,2022-11-16,27-142,WAS,,OKC,L (-1),1,27:16,4,7,.571,3,5,.600,0,0,,0,3,3,4,2,0,0,3,11,12.2,+24
16,16,2022-11-18,27-144,WAS,,MIA,W (+1),1,26:22,3,8,.375,0,5,.000,0,0,,0,5,5,5,0,0,0,2,6,5.8,+1
17,,2022-11-20,27-146,WAS,,CHO,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,,2022-11-23,27-149,WAS,@,MIA,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,2022-11-25,27-151,WAS,@,MIA,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,17,2022-11-27,27-153,WAS,@,BOS,L (-9),1,23:41,6,8,.750,4,5,.800,0,0,,0,3,3,8,0,0,0,2,16,18.5,-3
21,18,2022-11-28,27-154,WAS,,MIN,W (+15),1,22:13,3,6,.500,1,2,.500,0,0,,1,0,1,5,2,0,0,0,7,10.2,+29
22,19,2022-11-30,27-156,WAS,@,BRK,L (-6),1,28:54,2,6,.333,0,1,.000,0,0,,0,4,4,3,1,0,2,3,4,1.7,-5
23,20,2022-12-02,27-158,WAS,@,CHO,L (-1),1,25:32,4,6,.667,2,3,.667,2,2,1.000,1,5,6,6,0,0,1,1,12,14.4,+1
24,21,2022-12-04,27-160,WAS,,LAL,L (-11),1,30:59,6,14,.429,2,6,.333,0,0,,0,1,1,4,1,0,2,1,14,8.3,-15
25,22,2022-12-07,27-163,WAS,@,CHI,L (-4),1,37:15,7,13,.538,2,6,.333,1,1,1.000,0,2,2,8,0,1,3,3,17,13.4,-7
26,23,2022-12-09,27-165,WAS,@,IND,L (-10),1,34:29,3,9,.333,1,4,.250,0,0,,0,2,2,5,0,0,1,3,7,3.8,-13
27,,2022-12-10,27-166,WAS,,LAC,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,2022-12-12,27-168,WAS,,BRK,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
29,24,2022-12-14,27-170,WAS,@,DEN,L (-13),1,27:30,7,11,.636,4,7,.571,2,3,.667,0,0,0,7,1,0,0,3,20,19.4,-1
30,25,2022-12-17,27-173,WAS,@,LAC,L (-9),1,30:54,5,9,.556,2,2,1.000,0,0,,0,3,3,5,1,0,1,2,12,11.3,-6
31,26,2022-12-18,27-174,WAS,@,LAL,L (-2),1,28:56,3,10,.300,1,5,.200,0,0,,0,2,2,4,1,0,0,3,7,4.4,-12
32,27,2022-12-20,27-176,WAS,@,PHO,W (+3),1,36:23,4,10,.400,1,2,.500,0,1,.000,1,1,2,3,3,1,0,0,9,10.0,+11
33,28,2022-12-22,27-178,WAS,@,UTA,L (-8),1,30:16,2,5,.400,1,3,.333,0,1,.000,0,4,4,4,0,0,2,1,5,3.5,+3
