Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-03-18,27-211,WAS,,SAC,L (-14),0,5:30,0,0,,0,0,,0,0,,1,1,2,0,0,0,1,0,0,0.0,+8
2,,2023-03-21,27-214,WAS,@,ORL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2,2023-03-22,27-215,WAS,,DEN,L (-14),0,3:39,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,+6
4,,2023-03-24,27-217,WAS,,SAS,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,3,2023-03-26,27-219,WAS,@,TOR,L (-10),0,2:12,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,+4
6,4,2023-03-28,27-221,WAS,,BOS,W (+19),0,2:05,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,+2
7,5,2023-03-31,27-224,WAS,,ORL,L (-7),0,5:03,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,1,1,2,1.3,
8,6,2023-04-02,27-226,WAS,@,NYK,L (-9),0,3:31,0,0,,0,0,,0,0,,0,1,1,1,0,1,0,1,0,1.3,+9
9,7,2023-04-04,27-228,WAS,,MIL,L (-12),0,26:24,4,5,.800,0,0,,0,0,,0,2,2,1,0,0,2,3,8,4.2,+5
10,8,2023-04-05,27-229,WAS,@,ATL,L (-18),0,17:13,2,5,.400,0,0,,2,2,1.000,2,4,6,3,1,1,1,3,6,7.5,+2
11,9,2023-04-07,27-231,WAS,,MIA,W (+6),0,22:02,4,5,.800,0,1,.000,2,6,.333,4,5,9,0,3,0,1,3,10,11.6,-22
12,10,2023-04-09,27-233,WAS,,HOU,L (-5),1,38:08,5,11,.455,0,0,,0,2,.000,7,7,14,0,2,2,1,2,10,12.1,+3
